welcome.started,welcome.stopped,space_to_continue.keys,space_to_continue.rt,space_to_continue.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,STUDY_ID,SESSION_ID,consent.consent,consent.consent_recontact,consent_check.started,consent_check.stopped,calibration_ready.started,calibration_ready.stopped,cal_ready.keys,cal_ready.rt,cal_ready.duration,calibration.started,calibration.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,move_on.keys,move_on.rt,move_on.duration,run_cal.thisRepN,run_cal.thisTrialN,run_cal.thisN,run_cal.thisIndex,run_cal.ran,emotion_training_ready.started,emotion_training_ready.stopped,training_move_on.keys,training_move_on.rt,training_move_on.duration,examples.started,examples.stopped,emotion_scale.started,emotion_scale.stopped,scale_next.keys,scale_next.rt,scale_next.duration,instructions.started,instructions.stopped,next.keys,next.rt,next.duration,practice_task.started,practice_task.stopped,mouse_rating_2.x,mouse_rating_2.y,mouse_rating_2.leftButton,mouse_rating_2.midButton,mouse_rating_2.rightButton,mouse_rating_2.time,mouse_rating_2.clicked_name,ready.started,ready.stopped,key_resp.keys,key_resp.rt,key_resp.duration,set_group.started,set_group.stopped,task.started,task.stopped,mouse_rating.x,mouse_rating.y,mouse_rating.leftButton,mouse_rating.midButton,mouse_rating.rightButton,mouse_rating.time,mouse_rating.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,clip,short_break.started,short_break.stopped,space_to_move_on.keys,space_to_move_on.rt,space_to_move_on.duration,instruction_reminder.started,instruction_reminder.stopped,reminder_move_on.keys,reminder_move_on.rt,reminder_move_on.duration,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,block,post_survey.age,post_survey.musician,post_survey.music_making,post_survey.listen_time,post_survey.medium,post_survey.music_seeking,post_survey.music_choice,post_survey.activities,post_survey.question1.Hip hop,post_survey.question1.Ambient,post_survey.question1.R&B,post_survey.question1.Alternative rock,post_survey.question1.Disco,post_survey.question1.Folk/indie,post_survey.question1.Classic rock,post_survey.question1.Metal,post_survey.question1.Classical,post_survey.question1.Jazz,post_survey.question1.A cappella,post_survey.question1.Electronic (EDM),post_survey.question1.Reggae,post_survey.question1.Country,post_survey.question1.Pop,post_survey.question1.Latin,post_survey.other_genres,post_survey.genres_ranked.text1,post_survey.genres_ranked.text2,post_survey.genres_ranked.text3,post_survey.habit_change,show_exp.thisRepN,show_exp.thisTrialN,show_exp.thisN,show_exp.thisIndex,show_exp.ran,goodbye.started,goodbye.stopped
,,,,,216748,1,2024-07-12_18h19.15.979,experiment,2024.1.5,Win32,60.24096386,6691931c2c63981b064e1f0c,6691abc41aa2fa0d090c3e2c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,517.2719,528.0894,0.211111111,0.243333333,1.0,0.0,0.0,4.811,compass,0.0,16.0,16.0,15.0,1.0,SoundStimuli/TikTok_Kesha_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,216748,1,2024-07-12_18h19.15.979,experiment,2024.1.5,Win32,60.24096386,6691931c2c63981b064e1f0c,6691abc41aa2fa0d090c3e2c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,528.1006,536.4632,-0.2,-0.204444444,1.0,0.0,0.0,2.347,compass,0.0,17.0,17.0,2.0,1.0,SoundStimuli/Mood_24kGoldnianndior_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,216748,1,2024-07-12_18h19.15.979,experiment,2024.1.5,Win32,60.24096386,6691931c2c63981b064e1f0c,6691abc41aa2fa0d090c3e2c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,536.4745,542.6893,0.227777778,0.245555556,1.0,0.0,0.0,0.1999,compass,0.0,18.0,18.0,26.0,1.0,SoundStimuli/LivinOnAPrayer_BonJovi_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,216748,1,2024-07-12_18h19.15.979,experiment,2024.1.5,Win32,60.24096386,6691931c2c63981b064e1f0c,6691abc41aa2fa0d090c3e2c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,542.7025,558.5102,0.251111111,-0.19,1.0,0.0,0.0,9.795,compass,0.0,19.0,19.0,33.0,1.0,SoundStimuli/StandByMe_BenEKing_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,216748,1,2024-07-12_18h19.15.979,experiment,2024.1.5,Win32,60.24096386,6691931c2c63981b064e1f0c,6691abc41aa2fa0d090c3e2c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,558.518,570.2073,0.208888889,-0.198888889,1.0,0.0,0.0,5.6888,compass,0.0,20.0,20.0,5.0,1.0,SoundStimuli/MyGirl_TheTemptations_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,216748,1,2024-07-12_18h19.15.979,experiment,2024.1.5,Win32,60.24096386,6691931c2c63981b064e1f0c,6691abc41aa2fa0d090c3e2c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,570.2157,577.5999,0.208888889,-0.201111111,1.0,0.0,0.0,1.3822,compass,0.0,21.0,21.0,31.0,1.0,SoundStimuli/TheBattleOfNewOrleans_JohnnyHorton_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,216748,1,2024-07-12_18h19.15.979,experiment,2024.1.5,Win32,60.24096386,6691931c2c63981b064e1f0c,6691abc41aa2fa0d090c3e2c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,577.6102,587.427,0.157777778,0.181111111,1.0,0.0,0.0,3.7962,compass,0.0,22.0,22.0,23.0,1.0,SoundStimuli/StrawberryFieldsForever_TheBeatles_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,216748,1,2024-07-12_18h19.15.979,experiment,2024.1.5,Win32,60.24096386,6691931c2c63981b064e1f0c,6691abc41aa2fa0d090c3e2c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,587.4347,599.6075,0.165555556,0.192222222,1.0,0.0,0.0,6.1544,compass,0.0,23.0,23.0,8.0,1.0,SoundStimuli/LikeAPrayer_Madonna_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,216748,1,2024-07-12_18h19.15.979,experiment,2024.1.5,Win32,60.24096386,6691931c2c63981b064e1f0c,6691abc41aa2fa0d090c3e2c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,599.6257,608.4142,-0.17,-0.172222222,1.0,0.0,0.0,2.7808,compass,0.0,24.0,24.0,12.0,1.0,SoundStimuli/IWillAlwaysLoveYou_WhitneyHouston_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,216748,1,2024-07-12_18h19.15.979,experiment,2024.1.5,Win32,60.24096386,6691931c2c63981b064e1f0c,6691abc41aa2fa0d090c3e2c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,608.4247,616.01,0.196666667,0.203333333,1.0,0.0,0.0,1.5649,compass,0.0,25.0,25.0,32.0,1.0,SoundStimuli/HeatWaves_GlassAnimals_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
