welcome.started,welcome.stopped,space_to_continue.keys,space_to_continue.rt,space_to_continue.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,STUDY_ID,SESSION_ID,consent.consent,consent.consent_recontact,consent_check.started,consent_check.stopped,calibration_ready.started,calibration_ready.stopped,cal_ready.keys,cal_ready.rt,cal_ready.duration,calibration.started,calibration.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,move_on.keys,move_on.rt,move_on.duration,run_cal.thisRepN,run_cal.thisTrialN,run_cal.thisN,run_cal.thisIndex,run_cal.ran,emotion_training_ready.started,emotion_training_ready.stopped,training_move_on.keys,training_move_on.rt,training_move_on.duration,examples.started,examples.stopped,emotion_scale.started,emotion_scale.stopped,scale_next.keys,scale_next.rt,scale_next.duration,instructions.started,instructions.stopped,next.keys,next.rt,next.duration,practice_task.started,practice_task.stopped,mouse_rating_2.x,mouse_rating_2.y,mouse_rating_2.leftButton,mouse_rating_2.midButton,mouse_rating_2.rightButton,mouse_rating_2.time,mouse_rating_2.clicked_name,ready.started,ready.stopped,key_resp.keys,key_resp.rt,key_resp.duration,set_group.started,set_group.stopped,task.started,task.stopped,mouse_rating.x,mouse_rating.y,mouse_rating.leftButton,mouse_rating.midButton,mouse_rating.rightButton,mouse_rating.time,mouse_rating.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,clip,short_break.started,short_break.stopped,space_to_move_on.keys,space_to_move_on.rt,space_to_move_on.duration,instruction_reminder.started,instruction_reminder.stopped,reminder_move_on.keys,reminder_move_on.rt,reminder_move_on.duration,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,block,post_survey.age,post_survey.musician,post_survey.music_making,post_survey.listen_time,post_survey.medium,post_survey.music_seeking,post_survey.music_choice,post_survey.activities,post_survey.question1.Classical,post_survey.question1.Country,post_survey.question1.Alternative rock,post_survey.question1.Jazz,post_survey.question1.Classic rock,post_survey.question1.R&B,post_survey.question1.Electronic (EDM),post_survey.question1.A cappella,post_survey.question1.Folk/indie,post_survey.question1.Pop,post_survey.question1.Latin,post_survey.question1.Hip hop,post_survey.question1.Disco,post_survey.question1.Reggae,post_survey.question1.Ambient,post_survey.genres_ranked.text1,post_survey.genres_ranked.text2,post_survey.genres_ranked.text3,post_survey.habit_change,post_survey.habits,show_exp.thisRepN,show_exp.thisTrialN,show_exp.thisN,show_exp.thisIndex,show_exp.ran,goodbye.started,goodbye.stopped
,,,,,663231,1,2024-07-12_17h41.52.749,experiment,2024.1.5,Win32,59.17159763,6691931c2c63981b064e1f0c,6691b0f5b9588bcd6913cb59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,649.6322,657.8926,0.059627329,0.208074534,1.0,0.0,0.0,2.2542,compass,0.0,14.0,14.0,20.0,1.0,SoundStimuli/FlashdanceWhatAFeeling_IreneCara_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,663231,1,2024-07-12_17h41.52.749,experiment,2024.1.5,Win32,59.17159763,6691931c2c63981b064e1f0c,6691b0f5b9588bcd6913cb59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,657.9011,671.8652,-0.157763975,-0.163354037,1.0,0.0,0.0,7.9489,compass,0.0,15.0,15.0,6.0,1.0,SoundStimuli/SaveYourTears_TheWeekndArianaGrande_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,663231,1,2024-07-12_17h41.52.749,experiment,2024.1.5,Win32,59.17159763,6691931c2c63981b064e1f0c,6691b0f5b9588bcd6913cb59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,671.8751,678.264,-0.157763975,-0.163354037,1.0,0.0,0.0,0.3844,compass,0.0,16.0,16.0,33.0,1.0,SoundStimuli/TheBoyIsMine_BrandyMonica_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,663231,1,2024-07-12_17h41.52.749,experiment,2024.1.5,Win32,59.17159763,6691931c2c63981b064e1f0c,6691b0f5b9588bcd6913cb59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,678.2708,687.0939,0.126708075,0.19068323,1.0,0.0,0.0,2.8215,compass,0.0,17.0,17.0,22.0,1.0,SoundStimuli/Happy_PharellWilliams_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,663231,1,2024-07-12_17h41.52.749,experiment,2024.1.5,Win32,59.17159763,6691931c2c63981b064e1f0c,6691b0f5b9588bcd6913cb59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,687.1027,694.8416,0.126708075,0.19068323,1.0,0.0,0.0,1.7364,compass,0.0,18.0,18.0,31.0,1.0,SoundStimuli/TossinAndTurnin_BobbyLewis_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,663231,1,2024-07-12_17h41.52.749,experiment,2024.1.5,Win32,59.17159763,6691931c2c63981b064e1f0c,6691b0f5b9588bcd6913cb59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,694.8519,701.4204,-0.239751553,0.251552795,1.0,0.0,0.0,0.5639,compass,0.0,19.0,19.0,11.0,1.0,SoundStimuli/BlurredLines_RobinThicke_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,663231,1,2024-07-12_17h41.52.749,experiment,2024.1.5,Win32,59.17159763,6691931c2c63981b064e1f0c,6691b0f5b9588bcd6913cb59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,701.4284,712.4916,0.275776398,0.00310559,1.0,0.0,0.0,5.0594,compass,0.0,20.0,20.0,23.0,1.0,SoundStimuli/IWalkTheLine_JohnnyCash_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,663231,1,2024-07-12_17h41.52.749,experiment,2024.1.5,Win32,59.17159763,6691931c2c63981b064e1f0c,6691b0f5b9588bcd6913cb59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,712.5012,719.571,0.279503106,0.329813665,1.0,0.0,0.0,1.0683,compass,0.0,21.0,21.0,1.0,1.0,SoundStimuli/Smooth_SantanaRobThomas_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,663231,1,2024-07-12_17h41.52.749,experiment,2024.1.5,Win32,59.17159763,6691931c2c63981b064e1f0c,6691b0f5b9588bcd6913cb59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,719.576,730.1414,-0.093167702,0.263975155,1.0,0.0,0.0,4.5584,compass,0.0,22.0,22.0,15.0,1.0,SoundStimuli/CrazyInLove_BeyonceFtJayZ_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,663231,1,2024-07-12_17h41.52.749,experiment,2024.1.5,Win32,59.17159763,6691931c2c63981b064e1f0c,6691b0f5b9588bcd6913cb59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,730.1502,737.388,-0.229813665,0.342236025,1.0,0.0,0.0,1.2353,compass,0.0,23.0,23.0,7.0,1.0,SoundStimuli/MackTheKnife_BobbyDarin_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
