welcome.started,welcome.stopped,space_to_continue.keys,space_to_continue.rt,space_to_continue.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,STUDY_ID,SESSION_ID,consent.consent,consent.consent_recontact,consent_check.started,consent_check.stopped,calibration_ready.started,calibration_ready.stopped,cal_ready.keys,cal_ready.rt,cal_ready.duration,calibration.started,calibration.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,move_on.keys,move_on.rt,move_on.duration,run_cal.thisRepN,run_cal.thisTrialN,run_cal.thisN,run_cal.thisIndex,run_cal.ran,emotion_training_ready.started,emotion_training_ready.stopped,training_move_on.keys,training_move_on.rt,training_move_on.duration,examples.started,examples.stopped,emotion_scale.started,emotion_scale.stopped,scale_next.keys,scale_next.rt,scale_next.duration,instructions.started,instructions.stopped,next.keys,next.rt,next.duration,practice_task.started,practice_task.stopped,mouse_rating_2.x,mouse_rating_2.y,mouse_rating_2.leftButton,mouse_rating_2.midButton,mouse_rating_2.rightButton,mouse_rating_2.time,mouse_rating_2.clicked_name,ready.started,ready.stopped,key_resp.keys,key_resp.rt,key_resp.duration,set_group.started,set_group.stopped,task.started,task.stopped,mouse_rating.x,mouse_rating.y,mouse_rating.leftButton,mouse_rating.midButton,mouse_rating.rightButton,mouse_rating.time,mouse_rating.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,clip,short_break.started,short_break.stopped,space_to_move_on.keys,space_to_move_on.rt,space_to_move_on.duration,instruction_reminder.started,instruction_reminder.stopped,reminder_move_on.keys,reminder_move_on.rt,reminder_move_on.duration,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,block,post_survey.age,post_survey.musician,post_survey.music_making,post_survey.listen_time,post_survey.medium,post_survey.music_seeking,post_survey.music_choice,post_survey.activities,post_survey.question1.Reggae,post_survey.question1.Alternative rock,post_survey.question1.Ambient,post_survey.question1.Jazz,post_survey.question1.Folk/indie,post_survey.question1.Electronic (EDM),post_survey.question1.Country,post_survey.question1.Metal,post_survey.question1.Hip hop,post_survey.question1.Classical,post_survey.question1.Latin,post_survey.question1.Classic rock,post_survey.question1.R&B,post_survey.question1.Pop,post_survey.question1.Disco,post_survey.question1.A cappella,post_survey.other_genres,post_survey.genres_ranked.text1,post_survey.genres_ranked.text2,post_survey.genres_ranked.text3,post_survey.habit_change,post_survey.habits,show_exp.thisRepN,show_exp.thisTrialN,show_exp.thisN,show_exp.thisIndex,show_exp.ran,goodbye.started,goodbye.stopped
,,,,,259755,1,2024-07-12_15h40.39.205,experiment,2024.1.5,Win32,120.4819277,6691931c2c63981b064e1f0c,6691b0ba12e7047883534720,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1268.3597,1274.7721,0.316203704,0.316203704,1.0,0.0,0.0,0.4046,compass,0.0,34.0,34.0,3.0,1.0,SoundStimuli/PartyRockAnthem_LMFAO_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,259755,1,2024-07-12_15h40.39.205,experiment,2024.1.5,Win32,120.4819277,6691931c2c63981b064e1f0c,6691b0ba12e7047883534720,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1274.7765,1276.9471,space,2.1583,,1276.9471,1279.1258,right,2.1754,,0.0,2.0,2.0,2.0,1.0,block_order/blockB.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,259755,1,2024-07-12_15h40.39.205,experiment,2024.1.5,Win32,120.4819277,6691931c2c63981b064e1f0c,6691b0ba12e7047883534720,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1279.1352,1293.384,0.173148148,0.089351852,1.0,0.0,0.0,8.2417,compass,0.0,0.0,0.0,27.0,1.0,SoundStimuli/ShapeofYou_EdSheeran_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,259755,1,2024-07-12_15h40.39.205,experiment,2024.1.5,Win32,120.4819277,6691931c2c63981b064e1f0c,6691b0ba12e7047883534720,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1293.3886,1299.7757,0.219444444,0.148148148,1.0,0.0,0.0,0.3789,compass,0.0,1.0,1.0,32.0,1.0,SoundStimuli/HeatWaves_GlassAnimals_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,259755,1,2024-07-12_15h40.39.205,experiment,2024.1.5,Win32,120.4819277,6691931c2c63981b064e1f0c,6691b0ba12e7047883534720,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1299.7801,1306.0506,0.33287037,0.328240741,1.0,0.0,0.0,0.2668,compass,0.0,2.0,2.0,15.0,1.0,SoundStimuli/TikTok_Kesha_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,259755,1,2024-07-12_15h40.39.205,experiment,2024.1.5,Win32,120.4819277,6691931c2c63981b064e1f0c,6691b0ba12e7047883534720,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1306.0551,1312.3171,-0.132407407,0.32962963,1.0,0.0,0.0,0.262,compass,0.0,3.0,3.0,1.0,1.0,SoundStimuli/Stronger_KanyeWest_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,259755,1,2024-07-12_15h40.39.205,experiment,2024.1.5,Win32,120.4819277,6691931c2c63981b064e1f0c,6691b0ba12e7047883534720,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1312.3216,1318.7588,-0.141666667,0.034259259,1.0,0.0,0.0,0.4335,compass,0.0,4.0,4.0,12.0,1.0,SoundStimuli/IWillAlwaysLoveYou_WhitneyHouston_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,259755,1,2024-07-12_15h40.39.205,experiment,2024.1.5,Win32,120.4819277,6691931c2c63981b064e1f0c,6691b0ba12e7047883534720,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1318.7633,1325.2214,0.193518519,-0.022222222,1.0,0.0,0.0,0.4544,compass,0.0,5.0,5.0,14.0,1.0,SoundStimuli/BlindingLights_TheWeeknd_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,259755,1,2024-07-12_15h40.39.205,experiment,2024.1.5,Win32,120.4819277,6691931c2c63981b064e1f0c,6691b0ba12e7047883534720,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1325.2261,1331.538,-0.094907407,0.192592593,1.0,0.0,0.0,0.3083,compass,0.0,6.0,6.0,17.0,1.0,SoundStimuli/Fallin_AliciaKeys_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,259755,1,2024-07-12_15h40.39.205,experiment,2024.1.5,Win32,120.4819277,6691931c2c63981b064e1f0c,6691b0ba12e7047883534720,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1331.5425,1340.2545,-0.147222222,-0.01712963,1.0,0.0,0.0,2.7044,compass,0.0,7.0,7.0,34.0,1.0,SoundStimuli/AChangeIsGonnaCome_SamCooke_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,259755,1,2024-07-12_15h40.39.205,experiment,2024.1.5,Win32,120.4819277,6691931c2c63981b064e1f0c,6691b0ba12e7047883534720,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1340.2593,1346.5667,0.170833333,0.043055556,1.0,0.0,0.0,0.3038,compass,0.0,8.0,8.0,11.0,1.0,SoundStimuli/Superstition_StevieWonder_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
