Submission id,,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status,Custom study tncs accepted at,exp_id2,exp_id1,internal_id
63f6881fa9d97f1701b3bd76,,APPROVED,2023-02-22T21:24:52Z,2023-02-22T22:21:30Z,2023-02-22T23:23:35Z,2023-02-22T22:21:31Z,3399,CQXVLPYN,3074,34,Male,Mixed,United States,United States,United States,English,DATA_EXPIRED,Full-Time,NA,605984,598243,31
63f68d773a0535ca81bf850b,,APPROVED,2023-02-22T21:47:40Z,2023-02-22T22:18:57Z,2023-02-22T23:23:35Z,2023-02-22T22:18:57Z,1878,CQXVLPYN,75,30,Female,White,United States,United States,United States,English,No,Unemployed (and job seeking),NA,605993,597947,32
63f68a5d576aa5c6d723a033,,APPROVED,2023-02-22T21:39:27Z,2023-02-22T23:59:37Z,2023-02-23T03:04:57Z,2023-02-22T23:59:37Z,8410,CQXVLPYN,1255,31,Female,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED,NA,605991,598144,33
63f68db62b2283d79f3bff9f,,APPROVED,2023-02-22T21:49:04Z,2023-02-22T22:25:09Z,2023-02-22T23:23:35Z,2023-02-22T22:25:10Z,2166,CQXVLPYN,500,20,Female,Other,United States,United States,United States,English,Yes,DATA_EXPIRED,NA,605995,598161,34
63f68e8f6ee1e47f6c507af7,,APPROVED,2023-02-22T21:52:20Z,2023-02-22T22:45:37Z,2023-02-22T23:23:35Z,2023-02-22T22:45:38Z,3198,CQXVLPYN,56,21,Prefer not to say,Mixed,United States,United States,United States,English,Yes,Other,NA,605996,598207,35
63f68f76b0e60e8488d4ae5d,,APPROVED,2023-02-22T21:56:15Z,2023-02-22T23:38:47Z,2023-02-23T03:04:57Z,2023-02-22T23:38:47Z,6153,CQXVLPYN,487,29,Female,Black,Ghana,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)",NA,605998,598180,36
63f68f52084c1465c96a9546,,APPROVED,2023-02-22T22:01:31Z,2023-02-22T23:44:44Z,2023-02-23T03:04:57Z,2023-02-22T23:44:45Z,6194,CQXVLPYN,1522,39,Male,DATA_EXPIRED,United States,United States,United States,English,No,DATA_EXPIRED,NA,606000,598202,37
63f69068b2490887e597931f,,APPROVED,2023-02-22T22:02:07Z,2023-02-22T23:08:29Z,2023-02-22T23:23:35Z,2023-02-22T23:08:30Z,3983,CQXVLPYN,1464,27,Male,White,United States,United States,United States,English,Yes,Unemployed (and job seeking),NA,606001,598265,38
63f69269b8348c15d4309c31,,APPROVED,2023-02-22T22:16:30Z,2023-02-23T00:35:33Z,2023-02-23T03:04:57Z,2023-02-23T00:35:33Z,8344,CQXVLPYN,605,27,Female,Black,United States,United States,United States,English,No,Unemployed (and job seeking),NA,606006,598219,39
63f698b44632c29552aba34d,,APPROVED,2023-02-22T22:35:32Z,2023-02-22T23:39:40Z,2023-02-23T03:04:57Z,2023-02-22T23:39:41Z,3849,CQXVLPYN,2190,28,Female,Asian,United States,United States,United States,English,DATA_EXPIRED,Full-Time,NA,606011,598337,40
63f698c66c9fec869c19a775,,APPROVED,2023-02-22T22:36:05Z,2023-02-23T00:47:07Z,2023-02-23T03:04:57Z,2023-02-23T00:47:10Z,7862,CQXVLPYN,104,35,Female,White,United States,United States,United States,English,No,Full-Time,NA,606012,598198,41
