internal_id,song_id,age_at_event_orig,age_at_event_cover,association_orig,association_cover,control_orig,control_cover,memory_orig,memory_cover,description_orig,description_cover,emot_content_orig,emot_content_cover,emot_intensity_orig,emot_intensity_cover,energetic_orig,energetic_cover,experience_orig,experience_cover,familiarity_orig,familiarity_cover,important_orig,important_cover,preference_orig,preference_cover,social_orig,social_cover,unique_orig,unique_cover,vivid_orig,vivid_cover
88,2012_2,14,NA,14,19,somewhat spontaneous,NA,TRUE,FALSE,i remember hearing in high school. it was pretty popular at the time and lots of jokes were made about it.,NA,neutral,NA,not at all,NA,a little,NA,"heard it around me a lot, didn't really listen to it on my own",heard once or twice somewhere,a little,a little,not at all,NA,a little,not at all,somewhat,NA,not at all,NA,a little,NA
88,2013_1,17,NA,17-18,16,somewhat spontaneous,NA,TRUE,FALSE,I remember listening to this in my room once a while ago,NA,neutral,NA,not at all,NA,not at all,NA,"heard it on the radio a lot, listened to it on my own a couple times, but not often",heard on the radio occasionally,somewhat,a little,not at all,NA,a little,not at all,not at all,NA,not at all,NA,a little,NA
88,2013_2,14,NA,15,17,somewhat spontaneous,NA,TRUE,FALSE,I remember this was on the radio while I was in the car with my brother and mother and they were talking about it,NA,neutral,NA,not at all,NA,a little,NA,heard on the radio a lot,heard it a lot on the radio,a little,somewhat,a little,NA,a little,a little,a little,NA,a little,NA,a little,NA
88,2013_3,13,NA,14-15,15,completely spontaneous,NA,TRUE,FALSE,This song came out while I was in middle school. It was a very different sound for radio music at the time so I remember it.  I listened to it on the radio and in my room.,NA,neutral,NA,a little,NA,a little,NA,I liked it a lot when it came out. It sounded very different from other songs at the time.,Heard on the radio and listened to it on youtube occasionally but not anymore,very,somewhat,not at all,NA,somewhat,a little,somewhat,NA,not at all,NA,somewhat,NA
88,2014_3,12,NA,15,0,neither,NA,TRUE,FALSE,"I remember hearing this for the first time in my kitchen, my mom was listening to it.",NA,neutral,NA,not at all,NA,not at all,NA,heard it around me a couple times,never heard,not at all,not at all,not at all,NA,not at all,not at all,a little,NA,a little,NA,a little,NA
88,2018_4,17,NA,17,20,completely spontaneous,NA,TRUE,FALSE,I remember listening to this for the first time while I was depressed. It was a negative time but I enjoyed the song,NA,somewhat negative,NA,a little,NA,not at all,NA,used to listen to it a while ago,"Had it in my playlist for maybe a year, took it out because i got sick of it, but its still a decent song",somewhat,very,not at all,NA,somewhat,somewhat,not at all,NA,a little,NA,somewhat,NA
89,2008_2,14,NA,14,N/A,somewhat deliberate,NA,TRUE,FALSE,Probably heard this on the radio in our family car.,NA,neutral,NA,a little,NA,a little,NA,"The song sounded ok, instrumental stuck out to me the most.",N/A,somewhat,not at all,not at all,NA,a little,not at all,a little,NA,a little,NA,somewhat,NA
89,2008_3,5,7,6-Mar,7,completely deliberate,completely deliberate,TRUE,TRUE,Heard this growing up as a kid.,Thought it was a good song.,somewhat positive,somewhat positive,very,very,very,very,Heard it on T.V,Thought it was great.,not at all,very,somewhat,somewhat,a lot,a lot,somewhat,very,very,very,very,very
89,2009_3,11,NA,11,12,somewhat spontaneous,NA,TRUE,FALSE,I remember hearing it play on the radio.,NA,somewhat negative,NA,a little,NA,a little,NA,I remember hearing it play on the radio.,None,a little,not at all,a little,NA,a little,not at all,a little,NA,somewhat,NA,a little,NA
89,2011_2,11,11,11,11,somewhat spontaneous,somewhat deliberate,TRUE,TRUE,At parties during my school days.,They always play this song in retail stores.,somewhat negative,neutral,a little,somewhat,a little,somewhat,This song is makes me remember a certain time in life.,None,very,a little,a little,a little,somewhat,a little,somewhat,a little,a little,a little,a little,somewhat
89,2012_3,10,11,10,11,completely deliberate,completely deliberate,TRUE,TRUE,This was the song we played at our 5th-grade celebration party when we passed and were getting ready to move on to 6th grade.,This was our 5th grade anthem.,very positive,very positive,extremely,extremely,extremely,very,I'll always remember closing out my 5th grade year to this song because it brings up all the memories I made with my friends and teachers during this period of time.,This song brings me back to the 5th grade memories I had.,extremely,very,extremely,very,a lot,a lot,extremely,very,extremely,very,extremely,extremely
