participant,welcome.started,welcome_text.started,space_to_continue.started,welcome.stopped,space_to_continue.rt,expStart,consent_check.started,consent_check.stopped,calibration_ready.started,calibration_ready.stopped,cal_ready.rt,calibration.started,calibration.stopped,move_on.rt,emotion_training_ready.started,emotion_training_ready.stopped,training_move_on.rt,examples.started,examples.stopped,emotion_scale.started,emotion_scale.stopped,scale_next.rt,instructions.started,instructions.stopped,next.rt,practice_task.started,practice_task.stopped,ready.started,ready.stopped,key_resp.rt,set_group.started,set_group.stopped,task.started,task.stopped,short_break.started,short_break.stopped,space_to_move_on.rt,instruction_reminder.started,instruction_reminder.stopped,reminder_move_on.rt,goodbye.started,goodbye.stopped,text_4.started,cal_ready.started,calib_instructions.started
519625,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,808.0876,814.7701,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
519625,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,814.7722,821.2636,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
519625,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,821.2645,829.3236,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
519625,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,829.3282,836.1688,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
519625,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,836.1698,842.8271,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
519625,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,842.8291,849.0714,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
519625,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,849.0735,855.1364,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
519625,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,855.1375,862.4925,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
519625,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,862.494,868.5394,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
519625,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,868.5413,877.8641,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
519625,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,877.8666,884.2109,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
519625,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,884.2113,890.5999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
