participant,song_id,x,y,rt
798641,HowDoILive_LeAnnRimes_Cover5S,-0.14351849,-0.135185199,0.8635
798641,Dilemma_NellyKellyRowland_Cover5S,0.240740797,-0.085185199,0.4161
798641,BetteDavisEyes_KimCarnes_Original5S,0.240740797,-0.085185199,0.4667
798641,UnbreakMyHeart_ToniBraxton_Original5S,-0.098148092,-0.178703732,0.4159
798641,CrazyInLove_BeyonceFtJayZ_Cover5S,-0.162036981,0.087037023,0.4175
798641,JoyToTheWorld_ThreeDogNight_Original5S,0.03148151,0.100925912,0.9002
798641,FlashdanceWhatAFeeling_IreneCara_Original5S,0.03148151,0.100925912,0.4595
798641,Irreplaceable_Beyonce_Cover5S,0.134259288,-0.143518533,0.3165
798641,BlindingLights_TheWeeknd_Original5S,0.163888889,0.173148134,0.4497
798641,PokerFace_LadyGaga_Original5S,0.163888889,0.173148134,0.3852
798641,AnotherOneBitesTheDust_Queen_Original5S,-0.283333333,0.114814801,0.4027
798641,UptownFunk_MarkRonson_Original5S,0.122222222,0.116666667,0.4152
798641,LetsGetItOn_MarvinGaye_Cover5S,0.162963019,-0.14629631,0.5012
798641,Levitating_DuaLipa_Cover5S,-0.187962935,0.144444444,0.599
798641,MyGirl_TheTemptations_Original5S,0.088888889,0.088888889,0.4983
798641,Respect_ArethaFranklin_Original5S,-0.072222222,0.092592578,1.5332
798641,LivinOnAPrayer_BonJovi_Cover5S,0.101851908,-0.107407422,0.6499
798641,NoOne_AliciaKeys_Cover5S,0.089814843,0.145370356,0.4135
798641,GetUrFreakOn_MissyElliot_Original5S,-0.1,0.202777778,3.0495
798641,AChangeIsGonnaCome_SamCooke_Cover5S,0.164814843,0.045370356,0.7826
798641,ShapeofYou_EdSheeran_Original5S,0.157407464,0.124074046,0.3307
798641,LikeAPrayer_Madonna_Original5S,0.157407464,0.124074046,0.416
798641,ComeAndGetYourLove_Redbone_Original5S,0.157407464,0.124074046,0.4519
798641,TheBattleOfNewOrleans_JohnnyHorton_Cover5S,-0.015740712,-0.075925954,1.0462
798641,GodOnlyKnows_TheBeachBoys_Cover5S,-0.169444444,-0.190740755,0.4155
798641,HeyYa_Outkast_Cover5S,0.079629686,-0.242592621,0.4509
798641,Fallin_AliciaKeys_Original5S,-0.17870369,-0.198148176,0.6178
798641,HeatWaves_GlassAnimals_Original5S,-0.229629601,0.114814801,2.4326
798641,RockWithYou_MichaelJackson_Original5S,0.167592621,0.145370356,0.4986
798641,IWillAlwaysLoveYou_WhitneyHouston_Cover5S,0.221296353,0.059259245,0.2002
798641,NoScrubs_TLC_Original5S,-0.16851849,0.165740734,0.5155
798641,Stronger_KanyeWest_Original5S,0.245370399,0.121296268,0.3996
798641,StayinAlive_BeeGees_Original5S,0.245370399,0.121296268,0.4887
798641,Mood_24kGoldnianndior_Cover5S,-0.126851824,-0.133333333,0.4468
798641,TikTok_Kesha_Cover5S,0.233333333,-0.172222222,0.6838
798641,OldTownRoad_LilNasX_Original5S,0.173148176,0.140740712,0.5179
798641,BohemianRhapsody_Queen_Original5S,-0.210185157,0.117592578,0.5492
798641,BadDay_DanielPowter_Cover5S,-0.162962935,-0.132407422,1.2008
798641,StrawberryFieldsForever_TheBeatles_Original5S,0.142592621,-0.209259288,0.4344
798641,GoodGollyMissMolly_LittleRichard_Cover5S,0.089814843,0.042592578,0.4525
798641,Superstition_StevieWonder_Cover5S,-0.161111111,-0.15,0.0668
798641,Despacito_LuisFonsiDaddyYankee_Cover5S,0.204629686,-0.190740755,0.6165
798641,StandByMe_BenEKing_Cover5S,0.204629686,-0.190740755,0.3331
798641,TossinAndTurnin_BobbyLewis_Cover5S,-0.122222222,0.099074046,0.4143
798641,GimmeShelter_RollingStones_Cover5S,-0.187962935,0.152777778,3.418
798641,MackTheKnife_BobbyDarin_Original5S,0.21759262100000001,-0.153703732,0.7503
798641,Perfect_EdSheeran_Original5S,0.208333333,-0.113888889,0.0968
798641,IWantToHoldYourHand_TheBeatles_Cover5S,-0.216666667,-0.138888889,0.4354
798641,EyeOfTheTiger_Survivor_Original5S,-0.223148134,0.227777778,0.374
798641,FlashdanceWhatAFeeling_IreneCara_Cover5S,0.147222222,0.15,0.4309
798641,IWannaDanceWithSomebody_WhitneyHouston_Cover5S,0.210185242,-0.227777778,0.4122
798641,LikeARollingStone_BobDylan_Cover5S,0.147222222,-0.151851866,0.7819
798641,CrazyInLove_BeyonceFtJayZ_Original5S,0.212037065,0.076851824,0.4481
798641,TheSign_AceOfBase_Original5S,0.197222222,0.12870369,0.388
798641,Dilemma_NellyKellyRowland_Original5S,0.197222222,0.12870369,0.3639
798641,PartyRockAnthem_LMFAO_Cover5S,0.197222222,0.12870369,0.3987
798641,YouLightUpMyLife_DebbyBoone_Cover5S,0.197222222,-0.159259288,0.4824
798641,Happy_PharellWilliams_Cover5S,0.173148176,0.189814801,0.5326
798641,JoyToTheWorld_ThreeDogNight_Cover5S,-0.138888889,0.137037023,0.8822
798641,Irreplaceable_Beyonce_Original5S,0.165740797,0.167592578,0.6668
798641,Smooth_SantanaRobThomas_Cover5S,0.165740797,-0.155555556,0.4162
798641,TheBoyIsMine_BrandyMonica_Cover5S,-0.194444444,0.12870369,1.1673
798641,IWalkTheLine_JohnnyCash_Cover5S,0.140740797,-0.176851866,0.4476
798641,SmellsLikeTeenSpirit_Nirvana_Cover5S,-0.169444444,0.163888889,0.1862
798641,LeFreak_Chic_Original5S,0.102777778,0.141666667,0.4655
798641,Kiss_Prince_Original5S,0.102777778,0.141666667,0.5197
798641,HowDoILive_LeAnnRimes_Original5S,-0.070370314,-0.204629644,1.6394
798641,EndlessLove_DianaRossLionelRichie_Original5S,0.133333333,-0.237037065,0.4284
798641,SomebodyThatIUsedtoKnow_Gotye_Cover5S,-0.197222222,0.189814801,0.5837
798641,SaveYourTears_TheWeekndArianaGrande_Original5S,-0.147222222,-0.207407422,4.1845
798641,UnbreakMyHeart_ToniBraxton_Cover5S,-0.172222222,-0.184259288,1.2798
798641,Dreams_FleetwoodMac_Cover5S,0.196296353,-0.209259288,1.5505
798641,BlurredLines_RobinThicke_Original5S,0.080555556,0.149074067,0.3867
798641,BetteDavisEyes_KimCarnes_Cover5S,0.108333333,-0.107407422,0.0989
798641,ItsAllInTheGame_TommyEdwards_Original5S,-0.126851824,-0.227777778,0.4174
798641,IllMakeLoveToYou_BoyzIIMen_Original5S,0.129629686,-0.237037065,0.3854
798641,Weak_SWV_Original5S,0.117592621,-0.175925954,0.4993
798641,BridgeOverTroubledWater_SimonAndGarfunkel_Cover5S,-0.194444444,-0.187962977,0.4836
798641,GetUrFreakOn_MissyElliot_Cover5S,-0.141666667,0.137962935,2.2372
798641,Mood_24kGoldnianndior_Original5S,-0.112036981,0.130555556,3.8327
798641,BohemianRhapsody_Queen_Cover5S,-0.139814758,-0.15648151,0.5165
798641,HeyYa_Outkast_Original5S,0.269444444,0.171296289,0.6516
798641,Fallin_AliciaKeys_Cover5S,-0.16851849,-0.105555556,0.5168
798641,BlindingLights_TheWeeknd_Cover5S,0.219444444,0.084259245,1.2821
798641,AChangeIsGonnaCome_SamCooke_Original5S,0.25648151,-0.185185199,0.3824
798641,UptownFunk_MarkRonson_Cover5S,0.188888889,0.220370356,0.1326
798641,IWillAlwaysLoveYou_WhitneyHouston_Original5S,0.212963019,-0.114814843,0.5316
798641,MyGirl_TheTemptations_Cover5S,0.212963019,-0.114814843,0.7833
798641,BadDay_DanielPowter_Original5S,-0.190740712,-0.153703732,0.4629
798641,StandByMe_BenEKing_Original5S,0.13148151,-0.226851908,0.468
798641,Levitating_DuaLipa_Original5S,0.188888889,-0.155555556,0.4313
798641,TikTok_Kesha_Original5S,0.179629686,0.174074067,0.6026
798641,StrawberryFieldsForever_TheBeatles_Cover5S,-0.173148092,0.175,0.6004
798641,OldTownRoad_LilNasX_Cover5S,0.190740797,-0.162962977,0.3999
798641,Despacito_LuisFonsiDaddyYankee_Original5S,0.182407464,-0.137037065,0.5496
